,Date,Temperature,Prec
0,2000-01,277.98682,0.00016777209
1,2000-02,277.8711,5.680247e-05
2,2000-03,279.51724,6.0141236e-05
3,2000-04,286.58664,3.0772477e-05
4,2000-05,285.2741,9.363571e-05
5,2000-06,287.68362,6.3067106e-05
6,2000-07,289.91333,1.13318065e-05
7,2000-08,289.9497,4.5522836e-05
8,2000-09,287.54666,0.00018159537
9,2000-10,285.87695,7.936876e-05
10,2000-11,279.86032,2.3627253e-07
11,2000-12,275.93893,0.00030019853
12,2001-01,276.53162,0.00016210253
13,2001-02,272.2591,0.00010505264
14,2001-03,279.82678,0.00017706132
15,2001-04,284.74023,8.334458e-06
16,2001-05,287.17563,1.8237493e-05
17,2001-06,290.5709,3.0838495e-05
18,2001-07,292.8899,4.8052825e-06
19,2001-08,289.77124,6.697392e-05
20,2001-09,286.1514,0.00015627372
21,2001-10,286.18024,1.1703299e-05
22,2001-11,277.37097,0.00010767251
23,2001-12,274.677,7.1165174e-05
24,2002-01,279.56384,6.0145572e-05
25,2002-02,279.95334,7.49836e-05
26,2002-03,278.5841,6.7136284e-06
27,2002-04,283.72763,4.6602276e-05
28,2002-05,286.43903,5.5621713e-06
29,2002-06,287.88135,2.2165796e-05
30,2002-07,293.02148,4.1069787e-05
31,2002-08,291.07077,2.8701095e-05
32,2002-09,283.67468,8.3440376e-05
33,2002-10,281.3766,1.7518863e-05
34,2002-11,280.6923,0.00022149747
35,2002-12,277.21057,0.000118804826
36,2003-01,273.30994,0.00021403222
37,2003-02,274.1031,3.1074855e-05
38,2003-03,281.16293,5.675276e-05
39,2003-04,285.39777,5.867248e-06
40,2003-05,288.30838,3.4585757e-06
41,2003-06,291.36755,9.1674614e-05
42,2003-07,292.70575,3.1055817e-05
43,2003-08,290.87335,8.761326e-05
44,2003-09,286.66183,0.00018643198
45,2003-10,281.1061,0.0001577336
46,2003-11,280.46582,9.464043e-05
47,2003-12,277.25662,0.00022234472
48,2004-01,272.29425,4.19393e-05
49,2004-02,274.63113,0.00017543719
50,2004-03,279.29922,2.9786843e-05
51,2004-04,284.21085,7.075381e-05
52,2004-05,285.49722,1.9879587e-06
53,2004-06,288.76355,2.2713468e-05
54,2004-07,290.78506,1.7953633e-05
55,2004-08,289.99884,5.622486e-05
56,2004-09,286.09064,8.022228e-05
57,2004-10,286.53903,0.00015414601
58,2004-11,279.8181,0.0001245842
59,2004-12,276.87427,0.00015133231
60,2005-01,271.8344,9.899813e-05
61,2005-02,269.29755,8.681847e-05
62,2005-03,278.89633,5.9103942e-05
63,2005-04,283.453,6.6064154e-06
64,2005-05,288.86322,0.00015179421
65,2005-06,291.05823,0.0001077286
66,2005-07,293.7035,0.00013868668
67,2005-08,290.46173,1.812622e-05
68,2005-09,286.57385,0.00023459535
69,2005-10,281.3564,9.521702e-06
70,2005-11,277.5855,0.00016646451
71,2005-12,272.5263,0.0001354278
72,2006-01,275.11816,0.00010860385
73,2006-02,272.06934,0.00020338534
74,2006-03,281.80914,0.00012343677
75,2006-04,282.17343,0.0002442458
76,2006-05,283.861,0.00015703667
77,2006-06,291.6512,0.00017340071
78,2006-07,293.48203,5.7625144e-05
79,2006-08,287.8658,0.00016050598
