,CROP TYPES,LIVESTOCK,DISEASE AND PEST OUTBREAKS,WATER
2004-08-01,62.19839142091153,26.988382484361033,9.294012511170688,1.519213583556747
2004-09-01,71.18847539015606,19.207683073229294,8.043217286914766,1.56062424969988
2004-10-01,83.43373493975903,10.090361445783133,5.496987951807228,0.9789156626506025
2004-11-01,47.154929577464785,45.07042253521127,6.591549295774649,1.1830985915492958
2004-12-01,58.28746177370031,23.853211009174313,14.984709480122325,2.874617737003058
2005-01-01,69.48324022346368,21.089385474860336,8.310055865921788,1.1173184357541899
2005-02-01,73.44890510948905,19.06934306569343,3.5583941605839415,3.923357664233577
2005-03-01,61.5625,23.59375,12.34375,2.5
2005-04-01,74.25816023738872,19.881305637982198,4.376854599406528,1.483679525222552
2005-05-01,59.59271168274384,31.72561629153269,7.82422293676313,0.857449088960343
2005-06-01,77.40986019131715,14.937454010301693,6.181015452538632,1.4716703458425313
2005-07-01,76.51072124756335,14.230019493177387,6.432748538011696,2.8265107212475633
2005-08-01,67.19524281466799,21.407333994053516,10.901883052527255,0.4955401387512388
2005-09-01,82.02764976958525,12.376563528637261,4.871626069782751,0.7241606319947334
2005-10-01,60.76555023923444,21.052631578947366,16.686602870813395,1.4952153110047848
2005-11-01,69.35483870967742,19.032258064516128,7.096774193548387,4.516129032258064
2005-12-01,56.97343453510436,27.08728652751423,12.191650853889943,3.747628083491461
2006-01-01,77.83350050150452,14.343029087261785,6.318956870611836,1.5045135406218655
2006-02-01,45.16471838469713,33.54587318455543,18.845200141693233,2.4442082890541976
2006-03-01,66.49484536082474,18.814432989690722,8.762886597938143,5.927835051546391
2006-04-01,50.52816901408451,30.01760563380282,17.95774647887324,1.4964788732394365
2006-05-01,57.23684210526315,29.057017543859647,12.5,1.2061403508771928
2006-06-01,64.19185282522996,20.893561103810775,13.863337713534824,1.0512483574244416
2006-07-01,71.7463848720801,11.846496106785317,8.954393770856507,7.452725250278086
2006-08-01,41.217634709587124,28.621413575927225,28.06158152554234,2.099370188943317
2006-09-01,61.55555555555555,24.0,12.555555555555555,1.8888888888888888
2006-10-01,59.41278065630398,21.848013816925736,11.744386873920552,6.994818652849741
2006-11-01,50.663129973474796,34.04067197170645,14.146772767462423,1.1494252873563218
2006-12-01,48.12112367748997,35.64392557460781,11.528639182780006,4.706311565122219
2007-01-01,55.654761904761905,26.785714285714285,16.815476190476193,0.744047619047619
2007-02-01,65.98860862489829,23.840520748576076,7.241659886086249,2.9292107404393817
2007-03-01,66.02282704126426,20.54433713784021,12.291483757682178,1.141352063213345
2007-04-01,61.241379310344826,29.931034482758623,7.1724137931034475,1.6551724137931034
2007-05-01,43.75,41.03915662650602,9.036144578313253,6.174698795180722
2007-06-01,49.54389965792475,31.870011402508553,17.388825541619156,1.1972633979475484
2007-07-01,24.748040313549833,60.02239641657335,7.278835386338185,7.950727883538635
2007-08-01,52.324431256182,33.92680514342236,10.583580613254204,3.165182987141444
2007-09-01,73.8498789346247,14.164648910411623,11.138014527845035,0.847457627118644
2007-10-01,55.177020708082836,25.985303941215765,17.969271877087508,0.8684034736138945
2007-11-01,59.635416666666664,30.164930555555557,8.76736111111111,1.4322916666666665
2007-12-01,52.73833671399595,24.746450304259636,19.134550371872887,3.3806626098715347
